INFO   | jvm 1    | 2012/10/01 11:26:29 | java.io.IOException: No such process
INFO   | jvm 1    | 2012/10/01 11:26:29 | 	at java.io.FileInputStream.readBytes(Native Method)
INFO   | jvm 1    | 2012/10/01 11:26:29 | 	at java.io.FileInputStream.read(FileInputStream.java:242)
INFO   | jvm 1    | 2012/10/01 11:26:29 | 	at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:283)
INFO   | jvm 1    | 2012/10/01 11:26:29 | 	at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:325)
INFO   | jvm 1    | 2012/10/01 11:26:29 | 	at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:177)
INFO   | jvm 1    | 2012/10/01 11:26:29 | 	at java.io.InputStreamReader.read(InputStreamReader.java:184)
INFO   | jvm 1    | 2012/10/01 11:26:29 | 	at java.io.BufferedReader.fill(BufferedReader.java:154)
INFO   | jvm 1    | 2012/10/01 11:26:29 | 	at java.io.BufferedReader.readLine(BufferedReader.java:317)
INFO   | jvm 1    | 2012/10/01 11:26:29 | 	at java.io.BufferedReader.readLine(BufferedReader.java:382)
INFO   | jvm 1    | 2012/10/01 11:26:29 | 	at spade.reporter.FusionFUSE.createProgramVertex(FusionFUSE.java:170)
INFO   | jvm 1    | 2012/10/01 11:26:29 | 	at spade.reporter.FusionFUSE.checkProgramTree(FusionFUSE.java:272)
INFO   | jvm 1    | 2012/10/01 11:26:29 | 	at spade.reporter.FusionFUSE.read(FusionFUSE.java:309)
INFO   | jvm 1    | 2012/10/01 11:26:29 | 
INFO   | jvm 1    | 2012/10/01 11:26:29 | Oct 01, 2012 11:26:29 AM spade.core.Buffer putEdge
INFO   | jvm 1    | 2012/10/01 11:26:29 | WARNING: Not putting edge. Source is null
INFO   | jvm 1    | 2012/10/01 11:26:29 | Oct 01, 2012 11:26:29 AM spade.core.Buffer putEdge
INFO   | jvm 1    | 2012/10/01 11:26:29 | WARNING: Not putting edge. End vertices are equal
INFO   | jvm 1    | 2012/10/01 11:34:57 | Received a file -> remotePath=/home/cshou/DataSys/PAFS/FusionFS/fusionFS/fusion_root/omg || remoteIP= || localPath=/home/cshou/DataSys/PAFS/FusionFS/fusionFS/fusion_root/omg
INFO   | jvm 1    | 2012/10/01 11:35:18 | Write get called -> pid=6111 || iotime=35 || path=/omg
INFO   | jvm 1    | 2012/10/01 11:37:29 | Read get called -> pid=6126 || iotime=10 || path=/omg
INFO   | jvm 1    | 2012/10/01 11:37:29 | Oct 01, 2012 11:37:29 AM spade.reporter.FusionFUSE createProgramVertex
INFO   | jvm 1    | 2012/10/01 11:37:29 | SEVERE: null
INFO   | jvm 1    | 2012/10/01 11:37:29 | java.io.FileNotFoundException: /proc/6126/status (No such file or directory)
INFO   | jvm 1    | 2012/10/01 11:37:29 | 	at java.io.FileInputStream.open(Native Method)
INFO   | jvm 1    | 2012/10/01 11:37:29 | 	at java.io.FileInputStream.<init>(FileInputStream.java:138)
INFO   | jvm 1    | 2012/10/01 11:37:29 | 	at java.io.FileInputStream.<init>(FileInputStream.java:97)
INFO   | jvm 1    | 2012/10/01 11:37:29 | 	at java.io.FileReader.<init>(FileReader.java:58)
INFO   | jvm 1    | 2012/10/01 11:37:29 | 	at spade.reporter.FusionFUSE.createProgramVertex(FusionFUSE.java:169)
INFO   | jvm 1    | 2012/10/01 11:37:29 | 	at spade.reporter.FusionFUSE.checkProgramTree(FusionFUSE.java:272)
INFO   | jvm 1    | 2012/10/01 11:37:29 | 	at spade.reporter.FusionFUSE.read(FusionFUSE.java:309)
INFO   | jvm 1    | 2012/10/01 11:37:29 | 
INFO   | jvm 1    | 2012/10/01 11:37:29 | Oct 01, 2012 11:37:29 AM spade.core.Buffer putEdge
INFO   | jvm 1    | 2012/10/01 11:37:29 | WARNING: Not putting edge. Source is null
INFO   | jvm 1    | 2012/10/01 11:37:29 | Oct 01, 2012 11:37:29 AM spade.core.Buffer putEdge
INFO   | jvm 1    | 2012/10/01 11:37:29 | WARNING: Not putting edge. End vertices are equal
STATUS | wrapper  | 2012/10/01 12:08:31 | TERM trapped.  Shutting down.
ERROR  | wrapper  | 2012/10/01 12:08:50 | Shutdown failed: Timed out waiting for the JVM to terminate.
ERROR  | wrapper  | 2012/10/01 12:08:50 | JVM did not exit on request, terminated
STATUS | wrapper  | 2012/10/01 12:08:50 | <-- Wrapper Stopped
STATUS | wrapper  | 2012/10/01 14:35:30 | --> Wrapper Started as Console
STATUS | wrapper  | 2012/10/01 14:35:30 | Java Service Wrapper Community Edition 64-bit 3.5.13
STATUS | wrapper  | 2012/10/01 14:35:30 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/10/01 14:35:30 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/10/01 14:35:30 | 
STATUS | wrapper  | 2012/10/01 14:35:30 | Launching a JVM...
INFO   | jvm 1    | 2012/10/01 14:35:30 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: Starting Neo Server on port [7474] with [40] threads available
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM org.mortbay.log.Slf4jLog info
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: Logging to org.slf4j.impl.JDK14LoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: Using database at /home/cshou/DataSys/PAFS/SPADE/database4fs
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 14:35:33 | WARNING: No database tuning properties set in the property file, using defaults. Please specify the performance properties file with org.neo4j.server.db.tuning.properties in the server properties file [null].
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: Mounted discovery module at [/]
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: Loaded server plugin "CypherPlugin"
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: Loaded server plugin "GremlinPlugin"
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: Mounted REST API at [/db/data]
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: Mounted management API at [/db/manage]
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: Mounted webadmin at [/webadmin]
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: Mounting static content at [/webadmin] from [webadmin-html]
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM org.mortbay.log.Slf4jLog info
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: jetty-6.1.25
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM org.mortbay.log.Slf4jLog info
